abandonar;1;0;0;1;1;0
abeja;1;0;0;1;1;0
abortar;1;0;0;1;1;0
abrasador;1;0;0;1;1;0
abrazar;0;1;0;1;0;1
abrumar;1;0;0;1;1;0
absurdo;1;0;1;0;1;0
abundancia;0;1;0;1;0;1
aburrir;1;0;1;0;1;0
accidentar;1;0;0;1;1;0
ácido;1;0;0;1;1;0
acogedor;0;1;1;0;0;1
acontecimiento;0;1;0;1;0;1
acre;1;0;1;0;1;0
activar;0;1;0;1;0;1
acuerdo;0;1;1;0;0;1
acurrucar;0;1;1;0;0;1
adicto;1;0;0;1;1;0
adinerado;0;1;0;1;0;1
admirar;0;1;0;1;0;1
adorable;0;1;0;1;0;1
adulto;0;1;1;0;0;1
afectar;1;0;0;1;1;0
afianzar;0;1;0;1;0;1
afligir;1;0;1;0;1;0
afortunar;0;1;0;1;0;1
agilidad;0;1;0;1;0;1
agobiar;1;0;0;1;1;0
agonía;1;0;0;1;1;0
agradecer;0;1;0;1;0;1
agresión;1;0;0;1;1;0
agresivo;1;0;0;1;1;0
aguar;0;1;1;0;0;1
aguanieve;0;1;1;0;1;0
aguja;1;0;0;1;1;0
ahogar;1;0;0;1;1;0
ahorrar;0;1;1;0;0;1
aire;0;1;1;0;1;0
alba;0;1;1;0;1;0
alcohólico;1;0;0;1;1;0
alegrar;0;1;0;1;0;1
alergia;1;0;0;1;1;0
alertar;1;0;0;1;1;0
almohada;0;1;1;0;0;1
amabilidad;0;1;0;1;0;1
amable;0;1;1;0;0;1
amar;0;1;0;1;0;1
amanecer;0;1;1;0;1;0
amarillar;0;1;1;0;0;1
ambición;0;1;0;1;0;1
ambulancia;1;0;0;1;1;0
amenazar;1;0;0;1;1;0
amigable;0;1;0;1;0;1
amigo;0;1;0;1;0;1
amor;0;1;0;1;1;0
ampollar;1;0;1;0;1;0
ángel;0;1;1;0;1;0
angustiar;1;0;0;1;1;0
anhelar;1;0;0;1;1;0
ánimo;0;1;0;1;0;1
ansioso;1;0;0;1;1;0
aplastar;1;0;0;1;1;0
aplauso;0;1;0;1;0;1
aprender;0;1;0;1;0;1
aprobación;0;1;0;1;0;1
